Fresno stat,Fresno nonstat,Los Angeles stat,Los Angeles nonstat,Sacramento stat,Sacramento nonstat,San Diego stat,San Diego nonstat,San Jose stat,San Jose nonstat,San Francisco stat,San Francisco nonstat
41.61026385,44.08065907,98.26175613,102.2054101,66.45464244,66.8109044,55.28132516,56.43818734,46.01179796,47.51899864,67.0370161,67.20830067
41.92809076,44.45078642,99.24793953,103.2209952,67.00195699,67.41041551,55.78237926,56.96305787,46.38460746,47.9208476,67.55987307,67.72805994
42.23802621,44.78481438,100.1818339,104.2073174,67.5367535,67.96192132,56.26450878,57.46299054,46.73861954,48.30053547,68.06272552,68.22755711
42.53348034,45.10247929,101.0585206,105.1191682,68.04317005,68.493629,56.71739192,57.94025234,47.07769167,48.64381502,68.54356785,68.71002821
42.81299518,45.40631622,101.9257673,105.9906053,68.52597671,68.98924741,57.15777946,58.3968143,47.39831666,48.99451493,69.006762,69.14595125
43.08288468,45.6974792,102.7376571,106.8255619,69.00481173,69.45908855,57.57688524,58.83440088,47.70950565,49.32210789,69.4431589,69.56355683
43.34204376,45.97698353,103.4983559,107.5887446,69.46195202,69.9103411,57.9742496,59.25452949,48.00183986,49.62828104,69.85508342,69.98940855
43.58799242,46.24572717,104.2414773,108.3500105,69.89082483,70.34252077,58.36090263,59.65168784,48.28347595,49.92248598,70.25238912,70.4087397
43.82487457,46.50914346,104.9509822,109.1402607,70.30450432,70.76261592,58.73674118,60.04730236,48.56013133,50.22227121,70.64093868,70.81278875
44.05428701,46.76082362,105.6306637,109.8795571,70.70111089,71.18298828,59.10142932,60.42286506,48.81810543,50.50492113,71.01959899,71.18002607
44.27395869,47.00008345,106.301138,110.5555024,71.07782138,71.58710871,59.45145132,60.78331269,49.07197512,50.78665877,71.37722533,71.51970173
44.48787832,47.22914338,106.9550203,111.2546299,71.43720344,71.96351815,59.7877015,61.1197674,49.3207401,51.05867733,71.72920959,71.84784566
44.70081061,47.45721033,107.5753526,111.9315944,71.79751955,72.32784165,60.11810218,61.45288028,49.55900717,51.30338701,72.07260467,72.17426794
44.89940946,47.68391412,108.1919859,112.5869534,72.14244113,72.6891188,60.43836212,61.77790631,49.79000227,51.53800147,72.39542998,72.49423955
45.09860166,47.90458027,108.7751727,113.19453,72.48846518,73.04170077,60.74689798,62.10378212,50.01147092,51.78191837,72.70706322,72.81528274
45.29308014,48.11839204,109.3436163,113.7700747,72.81057693,73.38026004,61.04169716,62.41385846,50.23252242,52.00679168,73.02642801,73.12387968
45.4820943,48.32157315,109.8958366,114.3292415,73.12505735,73.71102525,61.33276507,62.71407425,50.44798541,52.23545437,73.32679697,73.41052494
45.6638477,48.523841,110.4327345,114.8841721,73.43062134,74.0326515,61.60997466,62.99814646,50.65374351,52.45359344,73.61624898,73.69135798
45.83552117,48.71707062,110.9640711,115.4228751,73.73380615,74.34563168,61.88341889,63.27459576,50.85931021,52.66362654,73.90746351,73.96451748
46.00907024,48.90390976,111.4889078,115.9473547,74.03557197,74.6504198,62.15527989,63.54382209,51.05515714,52.86812724,74.17988044,74.23062737
46.17670608,49.08768537,111.9862098,116.4638984,74.32399139,74.947435,62.41689857,63.80619466,51.24441449,53.06737948,74.45206777,74.49149866
46.33916946,49.2703021,112.4783344,116.9675048,74.60231569,75.23706501,62.67240449,64.06205507,51.43186735,53.25982178,74.71570871,74.7622153
46.49714833,49.44300614,112.9687059,117.4632569,74.87213268,75.51966923,62.91843057,64.31171995,51.61033234,53.44451626,74.97353693,75.02700813
46.65351763,49.60993657,113.4379904,117.9509523,75.13273689,75.79558141,63.1586331,64.55548336,51.78312627,53.62473849,75.22322713,75.28559921
46.80476617,49.77297936,113.8955313,118.4175285,75.39301995,76.06511207,63.39718907,64.80057822,51.95449554,53.81066322,75.46361654,75.530629
