Fresno stat,Fresno nonstat,Los Angeles stat,Los Angeles nonstat,Sacramento stat,Sacramento nonstat,San Diego stat,San Diego nonstat,San Jose stat,San Jose nonstat,San Francisco stat,San Francisco nonstat
50.85093921,54.79453413,125.6150426,131.3440532,82.63174705,83.09150444,69.81518903,71.1811008,56.49586874,58.79714265,82.41301901,83.29993636
50.92878592,54.8824942,125.8458377,131.5855521,82.7661361,83.2295493,69.93759711,71.3050812,56.58379726,58.89060278,82.5407802,83.42854295
51.00570997,54.96941196,126.0738766,131.8241716,82.89892614,83.36595098,70.05855601,71.4275908,56.67067185,58.98293991,82.66702502,83.55562026
51.08173304,55.05531185,126.2992244,132.0599796,83.03015477,83.50074813,70.17809973,71.54866415,56.75651739,59.07418059,82.79178909,83.68120426
51.15687602,55.14021752,126.5219437,132.2930413,83.15985831,83.63397808,70.29626108,71.66833458,56.84135789,59.16435045,82.9151068,83.80532965
51.2311591,55.22415176,126.7420951,132.5234201,83.28807181,83.76567684,70.41307177,71.78663431,56.92521653,59.2534742,83.03701134,83.92802996
51.30460179,55.30713661,126.959737,132.751177,83.41482913,83.89587923,70.52856241,71.90359443,57.00811572,59.34157574,83.1575348,84.04933756
51.37722293,55.38919334,127.1749259,132.9763709,83.54016297,84.02461886,70.64276259,72.01924499,57.09007708,59.42867815,83.27670816,84.16928372
51.44904074,55.47034253,127.3877163,133.1990588,83.66410498,84.15192825,70.75570089,72.13361504,57.17112154,59.51480374,83.39456139,84.28789868
51.52007284,55.5506041,127.5981612,133.4192959,83.78668573,84.27783882,70.86740499,72.24673269,57.2512693,59.59997407,83.51112344,84.40521169
51.59033626,55.62999729,127.8063115,133.6371354,83.90793481,84.40238098,70.97790164,72.3586251,57.33053993,59.68421001,83.62642236,84.52125104
51.65984752,55.70854074,128.0122167,133.852629,84.02788084,84.52558417,71.08721674,72.4693186,57.40895236,59.76753175,83.74048526,84.6360441
51.72862256,55.78625247,128.2159246,134.0658267,84.14655156,84.64747687,71.19537536,72.57883863,57.48652491,59.84995882,83.85333841,84.74961737
51.79667687,55.86314998,128.4174816,134.2767767,84.2639738,84.76808666,71.30240177,72.68720987,57.56327533,59.93151016,83.96500724,84.86199653
51.86402543,55.93925017,128.6169326,134.485526,84.38017356,84.88744029,71.40831951,72.79445621,57.6392208,60.01220409,84.07551638,84.97320643
51.93068274,56.01456945,128.8143209,134.69212,84.49517605,85.00556364,71.51315137,72.9006008,57.71437797,60.09205838,84.18488971,85.08327117
51.9966629,56.08912373,129.0096889,134.8966027,84.6090057,85.12248182,71.61691945,73.00566609,57.788763,60.17109023,84.29315038,85.19221411
52.06197955,56.16292842,129.2030773,135.0990168,84.72168619,85.23821918,71.71964519,73.10967384,57.86239152,60.24931635,84.40032084,85.3000579
52.12664594,56.23599848,129.3945259,135.2994037,84.8332405,85.35279934,71.82134937,73.21264517,57.93527873,60.32675292,84.50642285,85.40682452
52.1906749,56.30834842,129.5840731,135.4978035,84.94369092,85.46624521,71.92205217,73.31460057,58.00743935,60.40341566,84.61147754,85.51253527
52.25407892,56.37999234,129.7717563,135.6942553,85.0530591,85.57857903,72.02177317,73.41555993,58.07888768,60.4793198,84.71550541,85.61721086
52.3168701,56.45094391,129.9576116,135.888797,85.16136605,85.68982239,72.12053138,73.51554255,58.1496376,60.55448014,84.81852638,85.72087136
52.3790602,56.52121642,130.1416743,136.0814652,85.26863217,85.79999627,72.21834527,73.61456718,58.21970259,60.62891106,84.92055979,85.8235363
52.44066065,56.59082276,130.3239787,136.2722957,85.37487728,85.90912103,72.31523277,73.71265205,58.28909573,60.70262651,85.02162441,85.92522463
52.50168254,56.65977549,130.5045579,136.4613232,85.48012064,86.01721646,72.41121132,73.80981484,58.35782975,60.77564005,85.12173849,86.02595476
52.56213668,56.72808679,130.6834442,136.6485814,85.58438097,86.12430181,72.50629787,73.90607278,58.42591701,60.84796488,85.22091978,86.12574459
52.62203354,56.79576852,130.860669,136.8341031,85.68767647,86.23039579,72.60050887,74.00144257,58.49336953,60.91961379,85.31918553,86.22461152
52.68138333,56.86283219,131.0362629,137.0179202,85.79002484,86.33551657,72.69386036,74.0959405,58.56019899,60.99059926,85.4165525,86.32257249
52.74019598,56.92928902,131.2102556,137.2000638,85.8914433,86.43968186,72.78636792,74.18958239,58.62641677,61.0609334,85.51303703,86.41964395
52.79848115,56.99514992,131.3826759,137.3805639,85.99194859,86.54290887,72.87804672,74.28238364,58.69203391,61.13062799,85.60865497,86.51584193
52.85624823,57.06042551,131.5535521,137.5594501,86.09155702,86.64521436,72.96891151,74.37435922,58.75706119,61.19969453,85.7034218,86.611182
52.91350637,57.12512612,131.7229113,137.7367507,86.19028446,86.74661462,73.05897666,74.46552374,58.82150907,61.26814416,85.79735253,86.70567936
52.97026449,57.18926181,131.8907804,137.9124938,86.28814637,86.84712556,73.14825616,74.55589139,58.88538777,61.33598777,85.89046184,86.79934876
53.02653125,57.2528424,132.0571853,138.0867063,86.38515778,86.94676262,73.23676365,74.64547601,58.94870721,61.40323595,85.98276397,86.89220462
53.08231512,57.31587742,132.2221512,138.2594148,86.48133336,87.04554088,73.32451238,74.73429107,59.01147706,61.469899,86.07427282,86.98426093
53.13762433,57.37837619,132.3857028,138.4306449,86.5766874,87.14347502,73.4115153,74.82234972,59.07370676,61.53598698,86.16500194,87.07553137
53.1924669,57.44034777,132.5478641,138.6004218,86.67123381,87.24057934,73.49778501,74.90966474,59.13540549,61.60150968,86.25496452,87.16602925
53.24685067,57.501801,132.7086585,138.7687698,86.76498617,87.33686778,73.58333381,74.99624862,59.19658221,61.66647665,86.34417342,87.25576754
53.30078325,57.56274451,132.8681088,138.9357128,86.85795771,87.43235396,73.66817367,75.08211351,59.25724564,61.73089718,86.43264119,87.3447589
53.35427211,57.62318669,133.0262373,139.101274,86.95016133,87.52705112,73.75231628,75.16727129,59.3174043,61.79478036,86.52038006,87.43301566
53.40732448,57.68313574,133.1830656,139.2654761,87.04160961,87.6209722,73.83577304,75.25173352,59.3770665,61.85813504,86.60740196,87.52054987
53.45994746,57.74259968,133.338615,139.4283413,87.13231484,87.71412982,73.91855507,75.33551149,59.43624032,61.92096984,86.69371853,87.60737326
53.51214795,57.80158629,133.4929061,139.589891,87.22228899,87.80653629,74.00067323,75.41861623,59.49493368,61.9832932,86.77934113,87.69349729
